Car ID, 234, Car TripT, 9.72, Car DT, 3337.73, Car AT, 3328.02
Car ID, 235, Car TripT, 9.72, Car DT, 3352.02, Car AT, 3342.30
Car ID, 236, Car TripT, 9.72, Car DT, 3366.30, Car AT, 3356.58
Car ID, 237, Car TripT, 9.72, Car DT, 3380.58, Car AT, 3370.87
Car ID, 238, Car TripT, 9.72, Car DT, 3394.87, Car AT, 3385.15
Car ID, 239, Car TripT, 9.72, Car DT, 3409.15, Car AT, 3399.43
Car ID, 240, Car TripT, 9.72, Car DT, 3423.43, Car AT, 3413.72
Car ID, 241, Car TripT, 9.72, Car DT, 3437.72, Car AT, 3428.00
Car ID, 242, Car TripT, 9.72, Car DT, 3452.00, Car AT, 3442.28
Car ID, 243, Car TripT, 9.72, Car DT, 3466.28, Car AT, 3456.57
Car ID, 244, Car TripT, 9.72, Car DT, 3480.57, Car AT, 3470.85
Car ID, 245, Car TripT, 9.72, Car DT, 3494.85, Car AT, 3485.13
Car ID, 246, Car TripT, 9.72, Car DT, 3509.13, Car AT, 3499.42
Car ID, 247, Car TripT, 9.72, Car DT, 3523.42, Car AT, 3513.70
Car ID, 248, Car TripT, 9.72, Car DT, 3537.70, Car AT, 3527.98
Car ID, 249, Car TripT, 9.72, Car DT, 3551.98, Car AT, 3542.27
Car ID, 250, Car TripT, 9.72, Car DT, 3566.27, Car AT, 3556.55
Car ID, 251, Car TripT, 9.72, Car DT, 3580.55, Car AT, 3570.83
Car ID, 252, Car TripT, 9.72, Car DT, 3594.83, Car AT, 3585.12
Car ID, 253, Car TripT, 9.72, Car DT, 3609.12, Car AT, 3599.40
Car ID, 254, Car TripT, 9.72, Car DT, 3623.40, Car AT, 3613.68
Car ID, 255, Car TripT, 9.72, Car DT, 3637.68, Car AT, 3627.97
Car ID, 256, Car TripT, 9.72, Car DT, 3651.97, Car AT, 3642.25
Car ID, 257, Car TripT, 9.72, Car DT, 3666.25, Car AT, 3656.53
Car ID, 258, Car TripT, 9.72, Car DT, 3680.53, Car AT, 3670.82
Car ID, 259, Car TripT, 9.72, Car DT, 3694.82, Car AT, 3685.10
Car ID, 260, Car TripT, 9.72, Car DT, 3709.10, Car AT, 3699.38
Car ID, 261, Car TripT, 9.72, Car DT, 3723.38, Car AT, 3713.67
Car ID, 262, Car TripT, 9.72, Car DT, 3737.67, Car AT, 3727.95
Car ID, 263, Car TripT, 9.72, Car DT, 3751.95, Car AT, 3742.23
Car ID, 264, Car TripT, 9.72, Car DT, 3766.23, Car AT, 3756.52
Car ID, 265, Car TripT, 9.72, Car DT, 3780.52, Car AT, 3770.80
Car ID, 266, Car TripT, 9.72, Car DT, 3794.80, Car AT, 3785.08
Car ID, 267, Car TripT, 9.72, Car DT, 3809.08, Car AT, 3799.37
Car ID, 268, Car TripT, 9.72, Car DT, 3823.37, Car AT, 3813.65
Car ID, 269, Car TripT, 9.72, Car DT, 3837.65, Car AT, 3827.93
Car ID, 270, Car TripT, 9.72, Car DT, 3851.93, Car AT, 3842.22
Car ID, 271, Car TripT, 9.72, Car DT, 3866.22, Car AT, 3856.50
Car ID, 272, Car TripT, 9.72, Car DT, 3880.50, Car AT, 3870.78
Car ID, 273, Car TripT, 9.72, Car DT, 3894.78, Car AT, 3885.07
Car ID, 274, Car TripT, 9.72, Car DT, 3909.07, Car AT, 3899.35
Car ID, 275, Car TripT, 9.72, Car DT, 3923.35, Car AT, 3913.63
Car ID, 276, Car TripT, 9.72, Car DT, 3937.63, Car AT, 3927.92
Car ID, 277, Car TripT, 9.72, Car DT, 3951.92, Car AT, 3942.20
Car ID, 278, Car TripT, 9.72, Car DT, 3966.20, Car AT, 3956.48
Car ID, 279, Car TripT, 9.72, Car DT, 3980.48, Car AT, 3970.77
Car ID, 280, Car TripT, 9.72, Car DT, 3994.77, Car AT, 3985.05
Car ID, 281, Car TripT, 9.72, Car DT, 4009.05, Car AT, 3999.33
Car ID, 282, Car TripT, 9.72, Car DT, 4023.33, Car AT, 4013.62
Car ID, 283, Car TripT, 9.72, Car DT, 4037.62, Car AT, 4027.90
Car ID, 284, Car TripT, 9.72, Car DT, 4051.90, Car AT, 4042.18
Car ID, 285, Car TripT, 9.72, Car DT, 4066.18, Car AT, 4056.47
Car ID, 286, Car TripT, 9.72, Car DT, 4080.47, Car AT, 4070.75
Car ID, 287, Car TripT, 9.72, Car DT, 4094.75, Car AT, 4085.03
Car ID, 288, Car TripT, 9.72, Car DT, 4109.03, Car AT, 4099.32
Car ID, 289, Car TripT, 9.72, Car DT, 4123.32, Car AT, 4113.60
Car ID, 290, Car TripT, 9.72, Car DT, 4137.60, Car AT, 4127.88
Car ID, 291, Car TripT, 9.72, Car DT, 4151.88, Car AT, 4142.17
Car ID, 292, Car TripT, 9.72, Car DT, 4166.17, Car AT, 4156.45
Car ID, 293, Car TripT, 9.72, Car DT, 4180.45, Car AT, 4170.73
Car ID, 294, Car TripT, 9.72, Car DT, 4194.73, Car AT, 4185.02
Car ID, 295, Car TripT, 9.72, Car DT, 4209.02, Car AT, 4199.30
Car ID, 296, Car TripT, 9.72, Car DT, 4223.30, Car AT, 4213.58
Car ID, 297, Car TripT, 9.72, Car DT, 4237.58, Car AT, 4227.87
Car ID, 298, Car TripT, 9.72, Car DT, 4251.87, Car AT, 4242.15
Car ID, 299, Car TripT, 9.72, Car DT, 4266.15, Car AT, 4256.43
Car ID, 300, Car TripT, 9.72, Car DT, 4280.43, Car AT, 4270.72
Car ID, 301, Car TripT, 9.72, Car DT, 4294.72, Car AT, 4285.00
Car ID, 302, Car TripT, 9.72, Car DT, 4309.00, Car AT, 4299.28
Car ID, 303, Car TripT, 9.72, Car DT, 4323.28, Car AT, 4313.57
Car ID, 304, Car TripT, 9.72, Car DT, 4337.57, Car AT, 4327.85
Car ID, 305, Car TripT, 9.72, Car DT, 4351.85, Car AT, 4342.13
Car ID, 306, Car TripT, 9.72, Car DT, 4366.13, Car AT, 4356.42
Car ID, 307, Car TripT, 9.72, Car DT, 4380.42, Car AT, 4370.70
Car ID, 308, Car TripT, 9.72, Car DT, 4394.70, Car AT, 4384.98
Car ID, 309, Car TripT, 9.72, Car DT, 4408.98, Car AT, 4399.27
Car ID, 310, Car TripT, 9.72, Car DT, 4423.27, Car AT, 4413.55
Car ID, 311, Car TripT, 9.72, Car DT, 4437.55, Car AT, 4427.83
Car ID, 312, Car TripT, 9.72, Car DT, 4451.83, Car AT, 4442.12
Car ID, 313, Car TripT, 9.72, Car DT, 4466.12, Car AT, 4456.40
Car ID, 314, Car TripT, 9.72, Car DT, 4480.40, Car AT, 4470.68
Car ID, 315, Car TripT, 9.72, Car DT, 4494.68, Car AT, 4484.97
Car ID, 316, Car TripT, 9.72, Car DT, 4508.97, Car AT, 4499.25
Car ID, 317, Car TripT, 9.72, Car DT, 4523.25, Car AT, 4513.53
Car ID, 318, Car TripT, 9.72, Car DT, 4537.53, Car AT, 4527.82
Car ID, 319, Car TripT, 9.72, Car DT, 4551.82, Car AT, 4542.10
Car ID, 320, Car TripT, 9.72, Car DT, 4566.10, Car AT, 4556.38
Car ID, 321, Car TripT, 9.72, Car DT, 4580.38, Car AT, 4570.67
Car ID, 322, Car TripT, 9.72, Car DT, 4594.67, Car AT, 4584.95
Car ID, 323, Car TripT, 9.72, Car DT, 4608.95, Car AT, 4599.23
Car ID, 324, Car TripT, 9.72, Car DT, 4623.23, Car AT, 4613.52
Car ID, 325, Car TripT, 9.72, Car DT, 4637.52, Car AT, 4627.80
Car ID, 326, Car TripT, 9.72, Car DT, 4651.80, Car AT, 4642.08
Car ID, 327, Car TripT, 9.72, Car DT, 4666.08, Car AT, 4656.37
Car ID, 328, Car TripT, 9.72, Car DT, 4680.37, Car AT, 4670.65
Car ID, 329, Car TripT, 9.72, Car DT, 4694.65, Car AT, 4684.93
Car ID, 330, Car TripT, 9.72, Car DT, 4708.93, Car AT, 4699.22
Car ID, 331, Car TripT, 9.72, Car DT, 4723.22, Car AT, 4713.50
Car ID, 332, Car TripT, 9.72, Car DT, 4737.50, Car AT, 4727.78
Car ID, 333, Car TripT, 9.72, Car DT, 4751.78, Car AT, 4742.07
Car ID, 334, Car TripT, 9.72, Car DT, 4766.07, Car AT, 4756.35
Car ID, 335, Car TripT, 9.72, Car DT, 4780.35, Car AT, 4770.63
Car ID, 336, Car TripT, 9.72, Car DT, 4794.63, Car AT, 4784.92
Car ID, 337, Car TripT, 9.72, Car DT, 4808.92, Car AT, 4799.20
Car ID, 338, Car TripT, 9.72, Car DT, 4823.20, Car AT, 4813.48
Car ID, 339, Car TripT, 9.72, Car DT, 4837.48, Car AT, 4827.77
Car ID, 340, Car TripT, 9.72, Car DT, 4851.77, Car AT, 4842.05
Car ID, 341, Car TripT, 9.72, Car DT, 4866.05, Car AT, 4856.33
Car ID, 342, Car TripT, 9.72, Car DT, 4880.33, Car AT, 4870.62
Car ID, 343, Car TripT, 9.72, Car DT, 4894.62, Car AT, 4884.90
Car ID, 344, Car TripT, 9.72, Car DT, 4908.90, Car AT, 4899.18
